AUTOGENERATED FILE DO NOT EDIT
View a prettier version of this at,https://docs.google.com/spreadsheets/d/15pJY4cxtM2NVNFKQDgDnoT5PLo0Nm5Td-Ov-5PZefAw
platform,Android Nexus5 Perf,Android Nexus5X WebView Perf,Android Nexus6 WebView Perf,Win 7 Nvidia GPU Perf,Win 7 Perf,android-go-perf,android-go_webview-perf,android-nexus5x-perf,android-pixel2-perf,android-pixel2_weblayer-perf,android-pixel2_webview-perf,linux-perf,mac-10_12_laptop_low_end-perf,mac-10_13_laptop_high_end-perf,win-10-perf
shards,16,16,12,5,5,19,13,10,35,4,21,26,26,26,26
idealized cycle time (hours),1.83,0.51,0.65,2.11,1.85,0.59,0.22,1.17,0.47,0.11,0.28,0.34,0.33,0.30,0.42
blink_perf.accessibility,0.002,0.001,0.002,0.003,0.004,0.000,0.000,0.003,0.001,0.000,0.001,0.001,0.001,0.001,0.001
blink_perf.bindings,0.046,0.014,0.028,0.040,0.044,0.000,0.000,0.048,0.013,0.000,0.009,0.006,0.008,0.007,0.008
blink_perf.canvas,0.033,0.000,0.012,0.045,0.011,0.000,0.000,0.000,0.011,0.000,0.005,0.006,0.009,0.008,0.007
blink_perf.css,0.015,0.004,0.005,0.025,0.025,0.000,0.000,0.019,0.005,0.000,0.002,0.003,0.004,0.003,0.006
blink_perf.display_locking,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.047,0.000,0.000,0.000,0.000,0.004,0.000,0.000
blink_perf.dom,0.015,0.005,0.006,0.008,0.009,0.000,0.000,0.016,0.003,0.000,0.002,0.001,0.002,0.002,0.002
blink_perf.events,0.012,0.002,0.006,0.010,0.010,0.000,0.000,0.013,0.003,0.000,0.002,0.001,0.002,0.001,0.002
blink_perf.image_decoder,0.014,0.005,0.006,0.012,0.013,0.000,0.000,0.019,0.006,0.000,0.004,0.001,0.003,0.002,0.002
blink_perf.layout,0.100,0.029,0.050,0.067,0.077,0.000,0.000,0.107,0.023,0.000,0.014,0.009,0.013,0.012,0.014
blink_perf.owp_storage,0.006,0.001,0.002,0.006,0.006,0.000,0.000,0.005,0.001,0.000,0.001,0.001,0.001,0.001,0.001
blink_perf.paint,0.000,0.000,0.000,0.021,0.022,0.000,0.000,0.000,0.006,0.000,0.004,0.002,0.004,0.003,0.004
blink_perf.parser,0.038,0.010,0.017,0.026,0.028,0.000,0.000,0.040,0.008,0.000,0.005,0.004,0.005,0.005,0.005
blink_perf.shadow_dom,0.031,0.000,0.011,0.014,0.018,0.000,0.000,0.000,0.008,0.000,0.004,0.001,0.002,0.002,0.004
blink_perf.svg,0.014,0.003,0.005,0.007,0.009,0.000,0.000,0.010,0.004,0.000,0.002,0.001,0.001,0.001,0.002
dromaeo,0.007,0.003,0.004,0.016,0.016,0.000,0.000,0.010,0.003,0.000,0.002,0.002,0.003,0.003,0.003
dummy_benchmark.noisy_benchmark_1,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000
dummy_benchmark.stable_benchmark_1,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000
jetstream,0.000,0.000,0.000,0.019,0.021,0.000,0.000,0.000,0.000,0.000,0.000,0.004,0.004,0.004,0.004
jetstream2,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.008,0.000,0.000,0.003,0.000,0.004,0.003
kraken,0.007,0.002,0.002,0.002,0.003,0.000,0.000,0.006,0.001,0.000,0.001,0.000,0.001,0.001,0.001
loading.desktop,0.000,0.000,0.000,0.132,0.147,0.000,0.000,0.000,0.000,0.000,0.000,0.017,0.025,0.021,0.027
loading.mobile,0.080,0.019,0.024,0.000,0.000,0.000,0.000,0.078,0.023,0.000,0.012,0.000,0.000,0.000,0.000
